1, 0, 0, 125, 256, 6000, 256, 16, 128, 198, 199
2, 1, 1, 29, 8000, 32000, 32, 8, 32, 269, 253
3, 1, 2, 29, 8000, 32000, 32, 8, 32, 220, 253
4, 1, 3, 29, 8000, 32000, 32, 8, 32, 172, 253
5, 1, 4, 29, 8000, 16000, 32, 8, 16, 132, 132
6, 1, 5, 26, 8000, 32000, 64, 8, 32, 318, 290
7, 1, 6, 23, 16000, 32000, 64, 16, 32, 367, 381
8, 1, 7, 23, 16000, 32000, 64, 16, 32, 489, 381
9, 1, 8, 23, 16000, 64000, 64, 16, 32, 636, 749
10, 1, 9, 23, 32000, 64000, 128, 32, 64, 1144, 1238
11, 2, 10, 400, 1000, 3000, 0, 1, 2, 38, 23
12, 2, 11, 400, 512, 3500, 4, 1, 6, 40, 24
13, 3, 12, 60, 2000, 8000, 65, 1, 8, 92, 70
14, 3, 13, 50, 4000, 16000, 65, 1, 8, 138, 117
15, 4, 5000, 350, 64, 64, 0, 1, 4, 10, 15
16, 4, 8000, 200, 512, 16000, 0, 4, 32, 35, 64
17, 5, 14, 167, 524, 2000, 8, 4, 15, 19, 23
18, 5, 15, 143, 512, 5000, 0, 7, 32, 28, 29
19, 5, 16, 143, 1000, 2000, 0, 5, 16, 31, 22
20, 5, 17, 110, 5000, 5000, 142, 8, 64, 120, 124
21, 5, 18, 143, 1500, 6300, 0, 5, 32, 30, 35
22, 5, 19, 143, 3100, 6200, 0, 5, 20, 33, 39
23, 5, 20, 143, 2300, 6200, 0, 6, 64, 61, 40
24, 5, 21, 110, 3100, 6200, 0, 6, 64, 76, 45
25, 6, 22, 320, 128, 6000, 0, 1, 12, 23, 28
26, 6, 23, 320, 512, 2000, 4, 1, 3, 69, 21
27, 6, 24, 320, 256, 6000, 0, 1, 6, 33, 28
28, 6, 25, 320, 256, 3000, 4, 1, 3, 27, 22
29, 6, 26, 320, 512, 5000, 4, 1, 5, 77, 28
30, 6, 27, 320, 256, 5000, 4, 1, 6, 27, 27
31, 7, 28, 25, 1310, 2620, 131, 12, 24, 274, 102
32, 7, 29, 25, 1310, 2620, 131, 12, 24, 368, 102
33, 7, 30, 50, 2620, 10480, 30, 12, 24, 32, 74
34, 7, 31, 50, 2620, 10480, 30, 12, 24, 63, 74
35, 7, 32, 56, 5240, 20970, 30, 12, 24, 106, 138
36, 7, 33, 64, 5240, 20970, 30, 12, 24, 208, 136
37, 7, 34, 50, 500, 2000, 8, 1, 4, 20, 23
38, 7, 35, 50, 1000, 4000, 8, 1, 5, 29, 29
39, 7, 36, 50, 2000, 8000, 8, 1, 5, 71, 44
40, 8, 37, 50, 1000, 4000, 8, 3, 5, 26, 30
41, 8, 38, 50, 1000, 8000, 8, 3, 5, 36, 41
